název produktu;V-kód produktu;skupina produktů;čas cyklu (s);kavita;čas přípravy (s);zmetkovitost (%)
Krycí sklo-brzdové světlo přídav.;V0920;920;43,5;1;14400;5
Pouzdro čiré;V0921;921;30;2;14400;5
Těleso FS LL      PQ 35;V0923;923;;;14400;5
Těleso FS RL     PQ 35;V0924;924;;;14400;5
Těleso FS LL      PQ 46;V0925;925;;;14400;5
Těleso BFS RL   PQ 46;V0926;926;;;14400;5
Těleso FS RL     PQ 46;V0927;927;;;14400;5
Těleso BFS LL   PQ46;V0928;928;;;14400;5
Rám svietidla 3300;V0930;930;38,5;1;14400;5
Optický kryt;V0931;931;;;14400;5
Kryt mikrofonu šedý;V0932;932;44,7;2;14400;5
Kryt mikrofonu černý;V0933;933;32,5;2;14400;5
Kryt malý šedý;V0934;934;;;14400;5
Kryt malý černý;V0935;935;27;2;14400;5
Kryt velký šedý;V0936;936;30,7;2;14400;5
Kryt velký černý;V0937;937;30,9;2;14400;5
Rám svietidla 3360;V0938;938;38,5;1;14400;5
Kryt mikrofonu Astra 3360;V0939;939;29;1;14400;5
Rám svietidla Opel Astra 3311;V0940;940;38,5;1;14400;5
Kryt malý černý - 120 balení;V0941;941;28,9;2;14400;5
Krycí sklo-brzdové světlo příd.;V0942;942;;;14400;5
Optický kryt Insignie D;V0944;944;43;2;14400;5
Kryt;V0946;946;30;1;14400;5
Těleso+těsnění;V0947;947;64;1;14400;5
Těleso+ těsnění 2K- nová forma B;V0948;948;62;1;14400;5
Optický kryt Insignie 2K-nová forma;V0949;949;47;2;14400;5
SR base granit;V0950;950;71;1;14400;5
SR base black;V0951;951;;;14400;5
SR base white;V0952;952;;;14400;5
RR base granit;V0953;953;57,4;1;14400;5
RR base black;V0954;954;49;1;14400;5
RR base white;V0955;955;49;1;14400;5
Drip tray square granit;V0956;956;50,5;2;14400;5
Drip tray square black;V0957;957;;;14400;5
Drip tray square white;V0958;958;;;14400;5
Drip tray round granit;V0959;959;53,5;4;14400;5
Drip tray round black;V0960;960;72;4;14400;5
Drip tray round white;V0961;961;;;14400;5
Drip tray aquarius;V0962;962;;;14400;5
Drip tray aquarius blue;V0963;963;;;14400;5
Stěrka Trumf;V0964;964;48;1;14400;5
Stěrka Trumf;V0966;966;31;1;14400;5
Stěrka Herold;V0967;967;33;1;14400;5
Knoflík Mora ES bílý;V0970;970;35,5;4;14400;5
Knoflík Mora ES hnědý;V0971;971;33,7;4;14400;5
Knoflík Mora PS bílý;V0972;972;36;4;14400;5
Knoflík Mora PS hnědý;V0973;973;31,7;4;14400;5
díl pro Praděd;V0974;974;;;14400;5
díl pro Praděd;V0975;975;;;14400;5
Věž Praděd;V0976;976;;;14400;5
Tácek;V0977;977;55;1;14400;5
